title	DOI	url	issns	journal	authors	issns1	issns2	published_on	last_updated	cited_by_fbwalls_count	cited_by_feeds_count	cited_by_gplus_count	cited_by_msm_count	cited_by_posts_count	cited_by_rdts_count	cited_by_tweeters_count	cited_by_videos_count	cited_by_accounts_count	cited_by_patents_count	mendeley	altmetric_score	is_oa	author.names	issn	citations	CiteScore	SJR	WebQualis
Changes in Electrical Brain Activity and Cognitive Functions Following Mild to Moderate COVID-19: A one-Year Prospective Study After Acute Infection	10.1177/15500594221103834	http://dx.doi.org/10.1177/15500594221103834	1550-0594	Clinical EEG and Neuroscience	Pablo Andrei Appelt			2022	1674750109	0	0	0	0	7	0	5	0	5	0	40	4	TRUE	Pablo Andrei Appelt, Angélica Taciana Sisconetto, Kelly Savana Minaré Baldo Sucupira, Eduardo de Moura Neto, Tatiane de Jesus Chagas, Rodrigo Bazan, Ariana Moura Cabral, Adriano de Oliveira Andrade, Luciane Aparecida Pascucci Sande de Souza, Gustavo José Luvizutto	1550-0594	17	4.5	0.655	B1
Characteristics and prevalence of musculoskeletal injury in professional and non-professional ballet dancers	10.1590/bjpt-rbf.2014.0142	http://dx.doi.org/10.1590/bjpt-rbf.2014.0142	0211-5638	Fisioterapia : organo de la Asociacion Espanola de Fisioterapia.	Michelle S. S. Costa			2016	1646910185	0	0	0	0	1	0	1	0	1	0	273	1	TRUE	Michelle S. S. Costa, Arthur S. Ferreira, Marco Orsini, Elirez B. Silva, Lilian R. Felicio	0211-5638	40	0.4	0.138	B2
Characterization of inflammatory markers associated with systemic lupus erythematosus patients undergoing treatment	10.1016/j.rbre.2016.02.009	http://dx.doi.org/10.1016/j.rbre.2016.02.009	2255-5021	Revista Brasileira de Reumatologia (English Edition)	Rodolfo Pessato Timóteo			2016	1540636324	0	0	0	0	1	0	1	0	1	0	28	1	TRUE	Rodolfo Pessato Timóteo, Douglas Cobo Micheli, Reginaldo Botelho Teodoro, Marlene Freire, Dernival Bertoncello, Eddie Fernando Candido Murta, Beatriz Martins Tavares-Murta	2255-5021	2	NA	NA	B2
Clinical and Functional Outcomes of Patients Receiving Cerebral Reperfusion Therapy: A Stroke Databank Study in Brazil	10.3389/fsurg.2022.799485	http://dx.doi.org/10.3389/fsurg.2022.799485	2296-875X	Frontiers in Surgery	Natalia Eduarda Furlan			2022	1646859379	0	0	0	0	3	0	3	0	3	0	9	3	TRUE	Natalia Eduarda Furlan, Gustavo José Luvizutto, Pedro Tadao Hamamoto Filho, Silmeia Garcia Zanati Bazan, Gabriel Pinheiro Modolo, Natalia Cristina Ferreira, Luana Aparecida Miranda, Juli Thomaz de Souza, Fernanda Cristina Winckler, Edison Iglesias de Oliveira Vidal, Carlos Clayton Macedo de Freitas, Luis Cuadrado Martin, Rodrigo Bazan	2296-875X	1	1.1	0.436	NA
Clinical factors associated with the development of nonuse learned after stroke: a prospective study	10.1080/10749357.2019.1631605	http://dx.doi.org/10.1080/10749357.2019.1631605	1074-9357	Topics in Stroke Rehabilitation	Rafael Dalle Molle Da Costa			2019	1674397140	0	0	0	0	6	0	6	0	6	0	84	4	FALSE	Rafael Dalle Molle Da Costa, Gustavo José Luvizutto, Laís Geronutti Martins, Juli Thomaz De Souza, Taís Regina Da Silva, Lorena Cristina Alvarez Sartor, Fernanda Cristina Winckler, Gabriel Pinheiro Modolo, Evelin Roberta Da Silva Dalle Molle, Sarah M Dos Anjos, Silméia Garcia Zanati Bazan, Luís Martin Cuadrado, Rodrigo Bazan	1074-9357	18	4.5	0.835	A1
Combined exercise training reduces climacteric symptoms without the additive effects of isoflavone supplementation: A clinical, controlled, randomised, double-blind study	10.1177/0260106017727359	http://dx.doi.org/10.1177/0260106017727359	0260-1060	Nutrition and Health	Juliene G Costa			2017	1518787326	0	0	0	0	4	0	3	0	3	0	223	2	FALSE	Juliene G Costa, Jéssica S Giolo, Igor M Mariano, Jaqueline P Batista, Ana Luiza A Ribeiro, Tállita Cristina F Souza, Erick P de Oliveira, Ana Paula M Resende, Guilherme M Puga	0260-1060	12	2.8	0.433	B1
Contextual factors associated with life-space mobility in community-dwelling older adults based on International Classification of Functioning, Disability and Health: protocol for a systematic review	10.1136/bmjopen-2018-023468	http://dx.doi.org/10.1136/bmjopen-2018-023468	2044-6055	BMJ Open	Heloisa Maria Jácome Sousa Britto			2018	1542216719	0	0	0	0	2	0	2	0	2	0	62	1	TRUE	Heloisa Maria Jácome Sousa Britto, Bruna Silva Oliveira, Cristiano Santos Gomes, Juliana Martins Pinto, Ricardo Oliveira Guerra	2044-6055	5	4.4	0.971	A1
Crossed Leg Sign Is Associated With Severity of Unilateral Spatial Neglect After Stroke	10.3389/fneur.2018.00256	http://dx.doi.org/10.3389/fneur.2018.00256	1664-2295	Frontiers in Neurology	Gustavo José Luvizutto			2018	1677462539	0	0	0	0	34	0	31	0	31	0	22	25	TRUE	Gustavo José Luvizutto, Eduardo de Moura Neto, Luiz Antônio de Lima Resende, Hélio Rubens de Carvalho Nunes, Luiz Eduardo Gomes Garcia Betting, Rodrigo Bazan	1664-2295	2	4.8	0.966	A4
Discrimination between healthy and patients with Parkinson’s disease from hand resting activity using inertial measurement unit	10.1186/s12938-021-00888-2	http://dx.doi.org/10.1186/s12938-021-00888-2	1475-925X	BioMedical Engineering OnLine	Luciano Brinck Peres			2021	1621852338	0	0	0	0	1	0	1	0	1	0	48	1	TRUE	Luciano Brinck Peres, Bruno Coelho Calil, Ana Paula Sousa Paixão Barroso da Silva, Valdeci Carlos Dionísio, Marcus Fraga Vieira, Adriano de Oliveira Andrade, Adriano Alves Pereira	1475-925X	14	7.0	0.692	A3
Discriminatory Ability of Lower-Extremity Peak Torque and Rate of Torque Development in the Identification of Older Women With Slow Gait Speed.	10.1123/jab.2016-0354	http://dx.doi.org/10.1123/jab.2016-0354	1065-8483	Journal of Applied Biomechanics	Mary Hellen Morcelli			2018	1537703327	0	0	0	0	7	0	7	0	7	0	36	5	FALSE	Mary Hellen Morcelli, Dain Patrick LaRoche, Luciano Fernandes Crozara, Nise Ribeiro Marques, Camilla Zamfolini Hallal, Mauro Gonçalves, Marcelo Tavella Navega	1065-8483	9	2.1	0.427	A3
Early mobilization in acute stroke phase: a systematic review	10.1080/10749357.2021.2008595	http://dx.doi.org/10.1080/10749357.2021.2008595	1074-9357	Topics in Stroke Rehabilitation	Jéssica Mariana de Aquino Miranda			2021	1708048808	0	0	0	0	46	0	43	0	43	0	90	30	FALSE	Jéssica Mariana de Aquino Miranda, Viviany Mendes Borges, Rodrigo Bazan, Gustavo José Luvizutto, Jullyanna Sabrysna Morais Shinosaki	1074-9357	7	4.5	0.835	A1
Efeito agudo da marcha em esteira com estímulo auditivo sobre parâmetros cinemáticos da marcha e mobilidade em Parkinsonianos	10.6063/motricidade.7875	http://dx.doi.org/10.6063/motricidade.7875	1646-107X	Motricidade	Patrícia De Aguiar Yamada			2016	1489066724	1	0	0	0	1	0	0	0	1	0	10	1	TRUE	Patrícia De Aguiar Yamada, Késia Maísa Amaral-Felipe, Bárbara Fernandes Rodrigues, Maira Peloggia Cursino, Camilla Zamfolini Hallal, Flávia Roberta Faganello-Navega	1646-107X	2	0.5	0.212	B1
Effect of aerobic exercise on functional capacity and quality of life in individuals with Parkinson's disease: A systematic review of randomized controlled trials	10.1016/j.archger.2021.104422	http://dx.doi.org/10.1016/j.archger.2021.104422	0167-4943	Archives of Gerontology & Geriatrics	Marcos Paulo Braz de Oliveira			2021	1619945123	0	0	0	0	3	0	3	0	3	0	85	2	FALSE	Marcos Paulo Braz de Oliveira, Daniel Ferreira Moreira Lobato, Suhaila Mahmoud Smaili, Cristiano Carvalho, Juliana Bassalobre Carvalho Borges	0167-4943	18	6.8	1.054	A1
Effect of ankle-foot orthosis on functional mobility and dynamic balance of patients after stroke	10.1097/md.0000000000017317	http://dx.doi.org/10.1097/md.0000000000017317	0025-7974	Medicine (Wolters Kluwer)	Gabriela Vieira de Paula			2019	1570794439	0	0	0	0	1	0	1	0	1	0	199	1	TRUE	Gabriela Vieira de Paula, Taís Regina da Silva, Juli Thomaz de Souza, Gustavo José Luvizutto, Silméia Garcia Zanati Bazan, Gabriel Pinheiro Modolo, Fernanda Cristina Winckler, Letícia Cláudia de Oliveira Antunes, Luís Cuadrado Martin, Rafael Dalle Molle da Costa, Rodrigo Bazan	0025-7974	11	2.9	0.441	A3
Effect of Robot-Assisted Training on Unilateral Spatial Neglect After Stroke: Systematic Review and Meta-Analysis of Randomized Controlled Trials	10.1177/15459683221110894	http://dx.doi.org/10.1177/15459683221110894	1545-9683	Neurorehabilitation and Neural Repair	Rodrigo Bazan			2022	1661947965	0	0	0	0	1	0	1	0	1	0	18	1	FALSE	Rodrigo Bazan, Bruno Henrique de Souza Fonseca, Jessica Mariana de Aquino Miranda, Hélio Rubens de Carvalho Nunes, Silméia Garcia Zanati Bazan, Gustavo José Luvizutto	1545-9683	3	7.3	1.456	A1
Effect of sports shoe mileage on running mechanics and lower limb muscular activities in male individuals with and without genu varus	10.1016/j.scispo.2020.10.010	http://dx.doi.org/10.1016/j.scispo.2020.10.010	0765-1597	Science & Sports	A.A. Jafarnezhadgero			2021	1619761601	0	0	0	0	1	0	1	0	1	0	13	1	FALSE	A.A. Jafarnezhadgero, A. Yadegar, A. Valizadehorang, V.C. Dionisio	0765-1597	2	1.4	0.3	B1
Effects of combined and resistance training on the inflammatory profile in breast cancer survivors: A systematic review	10.1016/j.ctim.2017.11.023	http://dx.doi.org/10.1016/j.ctim.2017.11.023	0965-2299	Complementary Therapies in Medicine	Marco Aurélio Ferreira de Jesus Leite			2017	1608309929	0	0	0	0	2	0	2	0	2	0	147	2	FALSE	Marco Aurélio Ferreira de Jesus Leite, Guilherme Morais Puga, Franciel José Arantes, Carlo José Freire Oliveira, Lucas Moreira Cunha, Miguel Junior Sordi Bortolini, Nilson Penha-Silva	0965-2299	18	7.2	0.851	A2
Effects of different regimens for pelvic floor muscle training in young continent women: Randomized controlled clinical trial	10.1016/j.jelekin.2018.11.008	http://dx.doi.org/10.1016/j.jelekin.2018.11.008	1050-6411	Journal of Electromyography & Kinesiology	Vanessa S Pereira-Baldon			2018	1551994800	1	0	0	0	4	0	2	0	3	0	115	2	FALSE	Vanessa S Pereira-Baldon, Mariana Arias Avila, Carolina Bertholdo Dalarmi, Ana Beatriz de Oliveira, Patricia Driusso	1050-6411	9	4.8	0.825	A4
EFFECTS OF HIGH-INTENSITY INSPIRATORY MUSCLE TRAINING IN RUGBY PLAYERS	10.1590/1517-869220182403166216	http://dx.doi.org/10.1590/1517-869220182403166216	1517-8692	Revista Brasileira de Medicina do Esporte	Adauto de Oliveira Nunes Júnior			2018	1583748033	1	0	0	0	2	0	1	0	2	0	55	1	TRUE	Adauto de Oliveira Nunes Júnior, Marina Andrade Donzeli, Suraya Gomes Novais Shimano, Nuno Miguel Lopes de Oliveira, Gualberto Ruas, Dernival Bertoncello	1517-8692	6	0.8	NA	B1
Effects of non-invasive brain stimulation (NIBS) on vestibulopathy disorders: a systematic review	10.1080/21695717.2022.2067721	http://dx.doi.org/10.1080/21695717.2022.2067721	2169-5717	Hearing Balance and Communication	Bruno Henrique de Souza Fonseca			2022	1651530005	0	0	0	0	2	0	2	0	2	0	14	1	FALSE	Bruno Henrique de Souza Fonseca, Pedro Henrique Sousa de Andrade, Otávio Borges, Jessica Mariana de Aquino Miranda, Rodrigo Bazan, Luciane Aparecida Pascucci Sande de Souza, Gustavo José Luvizutto	2169-5717	0	1.1	0.211	NA
Effects of perineal preparation techniques on tissue extensibility and muscle strength: a pilot study	10.1007/s00192-018-3793-1	http://dx.doi.org/10.1007/s00192-018-3793-1	0937-3462	International Urogynecology Journal & Pelvic Floor Dysfunction	Síssi Sisconeto de Freitas			2018	1567778596	1	0	0	0	3	0	2	0	3	0	189	2	FALSE	Síssi Sisconeto de Freitas, Alana Leandro Cabral, Rogério de Melo Costa Pinto, Ana Paula Magalhães Resende, Vanessa Santos Pereira Baldon	0937-3462	10	3.4	0.821	A3
Electromyographic ratio of masseter and anterior temporalis muscles in children with and without temporomandibular disorders	10.1016/j.ijporl.2017.03.022	http://dx.doi.org/10.1016/j.ijporl.2017.03.022	0165-5876	International Journal of Pediatric Otorhinolaryngology	Thaís Cristina Chaves			2017	1499027293	4	0	0	0	9	0	1	0	5	0	84	2	FALSE	Thaís Cristina Chaves, Aroldo dos Santos Aguiar, Lilian Ramiro Felicio, Stella Maris Greghi, Simone Cecilio Hallak Regalo, Débora Bevilaqua-Grossi	0165-5876	15	3.0	0.568	A4
Eletromyography of abdominal muscles in different physical exercises	10.1097/md.0000000000010395	http://dx.doi.org/10.1097/md.0000000000010395	0025-7974	Medicine (Wolters Kluwer)	Thiago Montes Fidale			2018	1621609533	0	0	0	0	2	0	0	0	2	0	50	3	TRUE	Thiago Montes Fidale, Felipe Farnesi Ribeiro Borges, Leonardo Roever, Gilmar da Cunha Souza, Alexandre Gonçalves, Eduardo Paul Chacur, Cristhyano Pimenta, Eduardo Gasparetto Haddad, Guilherme Gularte de Agostini, Fábio Clemente Gregório, Fabrício Cardoso Ribeiro Guimarães, Franciel José Arantes, Lázaro Antônio dos Santos, Adriano Alves Pereira, Hanna Karen Moreira Antunes, Guilherme Morais Puga, Frederico Balbino Lizardo	0025-7974	2	2.9	0.441	A3
Evaluating the performance of the PRISMA-7 frailty criteria for predicting disability and death after acute ischemic stroke	10.1016/j.jstrokecerebrovasdis.2022.106837	http://dx.doi.org/10.1016/j.jstrokecerebrovasdis.2022.106837	1052-3057	Journal of Stroke & Cerebrovascular Diseases	Luana Aparecida Miranda			2022	1666869745	0	0	0	0	4	0	3	0	3	0	11	2	FALSE	Luana Aparecida Miranda, Gustavo José Luvizutto, Blossom Christa Maree Stephan, Juli Thomaz de Souza, Taís Regina da Silva, Fernanda Cristina Winckler, Natalia Cristina Ferreira, Leticia Claudia de Oliveira Antunes, Pedro Augusto Cândido Bessornia, Silméia Garcia Zanati Bazan, Fernanda Bono Fukushima, Rafael Dalle Molle da Costa, Gabriel Pinheiro Modolo, Marcos Ferreira Minicucci, Rodrigo Bazan, Edison Iglesias de Oliveira Vidal	1052-3057	4	4.3	0.678	A4
Evaluation of pelvic floor muscle strength and its correlation with sexual function in primigravid and non‐pregnant women: A cross‐sectional study	10.1002/nau.23353	http://dx.doi.org/10.1002/nau.23353	0733-2467	Neurourology and Urodynamics	Marília Duarte Santos			2017	1502108821	0	0	0	0	2	0	2	0	2	0	75	1	FALSE	Marília Duarte Santos, Vanessa Pinho Palmezoni, Luiza Torelli, Vanessa Santos Pereira Baldon, Marair Gracio Ferreira Sartori, Ana Paula Magalhães Resende	0733-2467	6	4.5	0.683	A2
Hip, Knee, and Ankle Functional Demand During Habitual and Fast-Pace Walking in Younger and Older Women.	10.1123/japa.2017-0351	http://dx.doi.org/10.1123/japa.2017-0351	1063-8652	Journal of Aging & Physical Activity	Deborah Hebling Spinoso			2018	1554840060	0	0	0	0	1	0	1	0	1	0	32	1	FALSE	Deborah Hebling Spinoso, Nise Ribeiro Marques, Dain Patrick LaRoche, Camilla Zamfollini Hallal, Aline Harumi Karuka, Fernanda Cristina Milanezi, Mauro Gonçalves	1063-8652	9	3.0	0.509	A3
Identification and Characterization of Short-Term Motor Patterns in Rest Tremor of Individuals with Parkinson’s Disease	10.3390/healthcare10122536	http://dx.doi.org/10.3390/healthcare10122536	2227-9032	Healthcare	Amanda Rabelo			2022	1671797413	0	0	0	0	2	0	2	0	2	0	6	2	TRUE	Amanda Rabelo, João Paulo Folador, Ariana Moura Cabral, Viviane Lima, Ana Paula Arantes, Luciane Sande, Marcus Fraga Vieira, Rodrigo Maximiano Antunes de Almeida, Adriano de Oliveira Andrade	2227-9032	3	4.9	0.606	A3
Immediate effect of mental practice with and without mirror therapy on muscle activation in hemiparetic stroke patients	10.1016/j.jbmt.2016.12.010	http://dx.doi.org/10.1016/j.jbmt.2016.12.010	1360-8592	Journal of Bodywork & Movement Therapies	Tamise Aguiar Caires			2016	1482811760	0	0	0	0	1	0	1	0	1	0	131	1	FALSE	Tamise Aguiar Caires, Luciane Fernanda Rodrigues Martinho Fernandes, Lislei Jorge Patrizzi, Rafael de Almeida Oliveira, Luciane Aparecida Pascucci Sande de Souza	1360-8592	1	2.5	0.48	A2
Increased flexibility, pain reduction and unaltered levels of IL-10 and CD11b + lymphocytes in patients with systemic lupus erythematosus were associated with kinesiotherapy	10.1177/0961203318768880	http://dx.doi.org/10.1177/0961203318768880	0961-2033	Lupus	R Pessato Timóteo			2018	1526472309	0	0	0	0	1	0	1	0	1	0	32	1	FALSE	R Pessato Timóteo, A Ferreira Silva, D Côbo Micheli, E F Candido Murta, M Freire, R Botelho Teodoro, F M Lima, B Martins Tavares Murta, D Bertoncello	0961-2033	12	4.3	0.812	A4
Increased strength of the scapular stabilizer and lumbar muscles after twelve weeks of Pilates training using the Reformer machine: A pilot study	10.1016/j.jbmt.2016.05.005	http://dx.doi.org/10.1016/j.jbmt.2016.05.005	1360-8592	Journal of Bodywork & Movement Therapies	Núbia Tomain Otoni dos Santos			2016	1711782079	0	0	0	8	24	0	10	0	19	0	111	80	FALSE	Núbia Tomain Otoni dos Santos, Karoline Cipriano Raimundo, Sheila Aparecida da Silva, Lara Andrade Souza, Karoline Carregal Ferreira, Zuleika Ferreira Borges Santo Urbano, Andréa Licre Pessina Gasparini, Dernival Bertoncello	1360-8592	4	2.5	0.48	A2
Influence of Aerobic Training on The Mechanics of Ventricular Contraction After Acute Myocardial Infarction: A Pilot Study	10.5935/abc.20180049	http://dx.doi.org/10.5935/abc.20180049	0066-782X	Arquivos Brasileiros de Cardiologia	Giovani Luiz De Santi			2018	1538529286	0	0	0	0	1	0	1	0	1	0	56	1	TRUE	Giovani Luiz De Santi, Henrique Turin Moreira, Eduardo Elias Vieira de Carvalho, Júlio César Crescêncio, André Schmidt, José Antônio Marin-Neto, Lourenço Gallo-Júnior	0066-782X	5	3.4	0.363	B2
Influence of personal mastery on mobility disability among older adults: A systematic review	10.1016/j.archger.2022.104750	http://dx.doi.org/10.1016/j.archger.2022.104750	0167-4943	Archives of Gerontology & Geriatrics	Mariana Thays Carvalho Moreira			2022	1654990262	0	0	0	0	1	0	1	0	1	0	19	1	FALSE	Mariana Thays Carvalho Moreira, Cintia Sulino Gomes, Juliana Martins Pinto	0167-4943	3	6.8	1.054	A1
